code	description
ADM1	first-order administrative division
ADM1H	historical first-order administrative division
ADM2	second-order administrative division
ADM2H	historical second-order administrative division
ADM3	third-order administrative division
ADM3H	historical third-order administrative division
ADM4	fourth-order administrative division
ADM4H	historical fourth-order administrative division
ADM5	fifth-order administrative division
ADMD	administrative division
ADMDH	historical administrative division
LTER	leased area
PCL	political entity
PCLD	dependent political entity
PCLF	freely associated state
PCLH	historical political entity
PCLI	independent political entity
PCLIX	section of independent political entity
PCLS	semi-independent political entity
PRSH	parish
TERR	territory
ZN	zone
ZNB	buffer zone
AIRS	seaplane landing area
ANCH	anchorage
BAY	bay
BAYS	bays
BGHT	bight(s)
BNK	bank(s)
BNKR	stream bank
BNKX	section of bank
BOG	bog(s)
CAPG	icecap
CHN	channel
CHNL	lake channel(s)
CHNM	marine channel
CHNN	navigation channel
CNFL	confluence
CNL	canal
CNLA	aqueduct
CNLB	canal bend
CNLD	drainage canal
CNLI	irrigation canal
CNLN	navigation canal(s)
CNLQ	abandoned canal
CNLSB	underground irrigation canal(s)
CNLX	section of canal
COVE	cove(s)
CRKT	tidal creek(s)
CRNT	current
CUTF	cutoff
DCK	dock(s)
DCKB	docking basin
DOMG	icecap dome
DPRG	icecap depression
DTCH	ditch
DTCHD	drainage ditch
DTCHI	irrigation ditch
DTCHM	ditch mouth(s)
ESTY	estuary
FISH	fishing area
FJD	fjord
FJDS	fjords
FLLS	waterfall(s)
FLLSX	section of waterfall(s)
FLTM	mud flat(s)
FLTT	tidal flat(s)
GLCR	glacier(s)
GULF	gulf
GYSR	geyser
HBR	harbor(s)
HBRX	section of harbor
INLT	inlet
INLTQ	former inlet
LBED	lake bed(s)
LGN	lagoon
LGNS	lagoons
LGNX	section of lagoon
LK	lake
LKC	crater lake
LKI	intermittent lake
LKN	salt lake
LKNI	intermittent salt lake
LKO	oxbow lake
LKOI	intermittent oxbow lake
LKS	lakes
LKSB	underground lake
LKSC	crater lakes
LKSI	intermittent lakes
LKSN	salt lakes
LKSNI	intermittent salt lakes
LKX	section of lake
MFGN	salt evaporation ponds
MGV	mangrove swamp
MOOR	moor(s)
MRSH	marsh(es)
MRSHN	salt marsh
NRWS	narrows
OCN	ocean
OVF	overfalls
PND	pond
PNDI	intermittent pond
PNDN	salt pond
PNDNI	intermittent salt pond(s)
PNDS	ponds
PNDSF	fishponds
PNDSI	intermittent ponds
PNDSN	salt ponds
POOL	pool(s)
POOLI	intermittent pool
RCH	reach
RDGG	icecap ridge
RDST	roadstead
RF	reef(s)
RFC	coral reef(s)
RFX	section of reef
RPDS	rapids
RSV	reservoir(s)
RSVI	intermittent reservoir
RSVT	water tank
RVN	ravine(s)
SBKH	sabkha(s)
SD	sound
SEA	sea
SHOL	shoal(s)
SILL	sill
SPNG	spring(s)
SPNS	sulphur spring(s)
SPNT	hot spring(s)
STM	stream
STMA	anabranch
STMB	stream bend
STMC	canalized stream
STMD	distributary(-ies)
STMH	headwaters
STMI	intermittent stream
STMIX	section of intermittent stream
STMM	stream mouth(s)
STMQ	abandoned watercourse
STMS	streams
STMSB	lost river
STMX	section of stream
STRT	strait
SWMP	swamp
SYSI	irrigation system
TNLC	canal tunnel
WAD	wadi
WADB	wadi bend
WADJ	wadi junction
WADM	wadi mouth
WADS	wadies
WADX	section of wadi
WHRL	whirlpool
WLL	well
WLLQ	abandoned well
WLLS	wells
WTLD	wetland
WTLDI	intermittent wetland
WTRC	watercourse
WTRH	waterhole(s)
AGRC	agricultural colony
AMUS	amusement park
AREA	area
BSND	drainage basin
BSNP	petroleum basin
BTL	battlefield
CLG	clearing
CMN	common
CNS	concession area
COLF	coalfield
CONT	continent
CST	coast
CTRB	business center
DEVH	housing development
FLD	field(s)
FLDI	irrigated field(s)
GASF	gasfield
GRAZ	grazing area
GVL	gravel area
INDS	industrial area
LAND	arctic land
LCTY	locality
MILB	military base
MNA	mining area
MVA	maneuver area
NVB	naval base
OAS	oasis(-es)
OILF	oilfield
PEAT	peat cutting area
PRK	park
PRT	port
QCKS	quicksand
RES	reserve
RESA	agricultural reserve
RESF	forest reserve
RESH	hunting reserve
RESN	nature reserve
RESP	palm tree reserve
RESV	reservation
RESW	wildlife reserve
RGN	region
RGNE	economic region
RGNH	historical region
RGNL	lake region
RNGA	artillery range
SALT	salt area
SNOW	snowfield
TRB	tribal area
PPL	populated place
PPLA	seat of a first-order administrative division
PPLA2	seat of a second-order administrative division
PPLA3	seat of a third-order administrative division
PPLA4	seat of a fourth-order administrative division
PPLC	capital of a political entity
PPLCH	historical capital of a political entity
PPLF	farm village
PPLG	seat of government of a political entity
PPLH	historical populated place
PPLL	populated locality
PPLQ	abandoned populated place
PPLR	religious populated place
PPLS	populated places
PPLW	destroyed populated place
PPLX	section of populated place
STLMT	israeli settlement
CSWY	causeway
OILP	oil pipeline
PRMN	promenade
PTGE	portage
RD	road
RDA	ancient road
RDB	road bend
RDCUT	road cut
RDJCT	road junction
RJCT	railroad junction
RR	railroad
RRQ	abandoned railroad
RTE	caravan route
RYD	railroad yard
ST	street
STKR	stock route
TNL	tunnel
